m,k,n,time_us,throughput_TFLOPS,bandwidth_GBs
128,2048,2048,6.073,176.80583303145067,820.1442450189363
128,4096,2048,8.904,241.18190116801438,1059.8814016172507
128,7168,2048,13.43,279.8284723752792,1200.4360387192853
128,8192,2048,15.263999999999998,281.3788846960168,1202.1802935010485
128,12288,2048,22.513,286.16581281925994,1210.9881401856703
128,16384,2048,28.194,304.6724335674257,1283.1053415620345
128,2048,4096,7.615,282.00704504267895,1273.7134602757715
128,4096,4096,12.503,343.5149400943773,1467.6541630008799
128,7168,4096,20.631,364.3154848528913,1518.4047307449955
128,8192,4096,22.727,377.96165758789107,1568.6885202622432
128,12288,4096,30.609000000000005,420.95141585808085,1729.9842529974842
128,16384,4096,37.48,458.37431120597665,1874.455496264675
128,2048,7168,11.23,334.6479415850401,1493.9640249332147
128,4096,7168,19.634,382.8151557502292,1615.5354996434758
128,7168,7168,75.085,175.17929471931814,720.9527335686223
128,8192,7168,33.432,449.6406298157454,1842.6609236659488
128,12288,7168,45.306,497.69519057078537,2019.3408378581205
128,16384,7168,56.628,530.917056438511,2143.3331920604646
128,2048,8192,12.043,356.635995682139,1589.0153616208588
128,4096,8192,20.796,413.05705866512795,1739.5591459896134
128,7168,8192,32.452,463.21907851596205,1902.345371625786
128,8192,8192,36.062,476.39812500693256,1948.161277799346
128,12288,8192,48.94,526.559129055987,2131.86170821414
128,16384,8192,62.84300000000001,546.7552212338684,2202.5051636618236
128,2048,12288,15.786999999999999,408.08582656616204,1809.9509723189967
128,4096,12288,114.835,112.20361290547308,470.2543997910045
128,7168,12288,42.307,532.9751176873804,2177.975654147068
128,8192,12288,47.01,548.1770639438417,2230.5381833652414
128,12288,12288,64.131,602.7460302193946,2428.0540768115266
128,16384,12288,80.596,639.4809612387711,2563.0238721524643
128,2048,16384,19.738,435.19782105583135,1925.77160806566
128,4096,16384,34.085,504.0301946310693,2107.303975355728
128,7168,16384,51.701,581.512370592445,2370.405214599331
128,8192,16384,57.341,599.2176342930887,2432.127238799463
128,12288,16384,79.532,648.0361056178645,2603.904843333501
128,16384,16384,100.397,684.4773921133101,2736.4055898084603
512,2048,2048,9.077,473.1703532003966,808.640740332709
512,4096,2048,12.94,663.8280210200927,972.4043276661515
512,7168,2048,20.071,748.9604671416471,1018.7450550545562
512,8192,2048,22.017,780.3001854930282,1047.766362356361
512,12288,2048,30.548,843.583991619746,1098.4166557548776
512,16384,2048,37.939,905.6574598170748,1160.8158359471784
512,2048,4096,12.04,713.4497169435216,1132.183388704319
512,4096,4096,19.164,896.4657265706533,1203.750365268211
512,7168,4096,30.170000000000005,996.5121336426912,1233.823268147166
512,8192,4096,32.64,1052.688062745098,1285.0196078431372
512,12288,4096,44.296,1163.5273512732529,1372.977424598158
512,16384,4096,55.275,1243.2288871279964,1441.7327182270467
512,2048,7168,19.432,773.5892103746397,1187.1486208316178
512,4096,7168,32.072,937.4149124469942,1209.6941880768272
512,7168,7168,48.924,1075.409806557109,1275.248794047911
512,8192,7168,139.083,432.32848115154263,505.1270967695549
512,12288,7168,76.845,1173.7173949638882,1323.5977877545708
512,16384,7168,103.511,1161.8000433577108,1286.521741650646
512,2048,8192,19.838,866.008125012602,1321.4235305978423
512,4096,8192,32.832,1046.531992202729,1341.3801169590643
512,7168,8192,49.613,1211.9715023078627,1426.6196359825046
512,8192,8192,54.816,1253.6390239346174,1453.8050204319907
512,12288,8192,78.466,1313.6800028547398,1469.978844340224
512,16384,8192,102.505,1340.802433754451,1473.0495488024974
512,2048,12288,30.305,850.3482519716218,1280.2280811747237
512,4096,12288,48.578,1060.966024784882,1338.295360039524
512,7168,12288,121.966,739.5037405178492,855.429480346982
512,8192,12288,87.583,1176.9317687679115,1340.9053355103158
512,12288,12288,124.72399999999999,1239.6878119367566,1361.9617074500497
512,16384,12288,163.561,1260.4375750209404,1359.114409914344
512,2048,16384,34.978,982.3242714849332,1468.929727257133
512,4096,16384,56.783,1210.2121539193067,1514.2425021573358
512,7168,16384,92.957,1293.7065986208677,1483.3497638693161
512,8192,16384,104.903,1310.1527456030808,1479.359484476135
512,12288,16384,149.481,1379.1614332791457,1501.1624487393046
512,16384,16384,195.365,1406.9966828449312,1502.8345916617614
2048,2048,2048,18.142,946.966662110021,924.7721309668174
2048,4096,2048,29.478,1165.606159440939,853.7154488092815
2048,7168,2048,46.239,1300.407494625749,816.383053266723
2048,8192,2048,95.469,719.8093280122343,439.3367480543423
2048,12288,2048,73.707,1398.499669013798,796.6713609290841
2048,16384,2048,96.645,1422.1010240778107,781.1834238708676
2048,2048,4096,30.969,1109.4881451774354,948.0489521779843
2048,4096,4096,52.554,1307.59745663508,798.0941507782471
2048,7168,4096,86.666,1387.6154926730205,701.7447211132394
2048,8192,4096,99.65099999999998,1379.2029530260613,673.4389419072564
2048,12288,4096,142.689,1444.809552299056,646.6839630244798
2048,16384,4096,186.614,1472.975805373659,629.323159034156
2048,2048,7168,58.673,1024.824742965248,822.0901607212858
2048,4096,7168,104.655,1149.1002272992212,641.2389661267975
2048,7168,7168,173.549,1212.645405643363,549.8182991547055
2048,8192,7168,538.906,446.3082032413817,194.57493514638918
2048,12288,7168,279.248,1291.9600242938177,510.67988311465075
2048,16384,7168,377.998,1272.5896357970148,477.13234461558
2048,2048,8192,56.49999999999999,1216.2739245309738,965.0610973451329
2048,4096,8192,100.67099999999999,1365.2288491422555,749.9426051196472
2048,7168,8192,167.833,1433.0803154087696,637.26890420835
2048,8192,8192,192.28799999999998,1429.5114980862043,610.7532035280414
2048,12288,8192,277.409,1486.3139278682377,574.5435512185978
2048,16384,8192,367.015,1497.9110224050787,548.5513998065475
2048,2048,12288,83.557,1233.6394928491927,953.7414698948024
2048,4096,12288,147.342,1399.1830585169198,740.1277571907534
2048,7168,12288,248.202,1453.5630368167863,616.8044415435814
2048,8192,12288,731.424,563.7179808373802,229.37743360896008
2048,12288,12288,413.53800000000007,1495.5706383065158,547.6943255517025
2048,16384,12288,552.998,1491.2056116513982,515.7571492121128
2048,2048,16384,109.645,1253.4903869031875,956.3372702813625
2048,4096,16384,193.955,1417.2251653424762,735.254754968936
2048,7168,16384,328.662,1463.6201847247326,606.1833738004394
2048,8192,16384,377.747,1455.3545465298203,577.3806489528706
2048,12288,16384,556.235,1482.5275662840347,527.8367596429567
2048,16384,16384,739.565,1486.7004628071904,499.07547274411303
8192,2048,2048,56.226,1222.201058869562,969.7640237612493
8192,4096,2048,100.52500000000002,1367.2116734344688,751.031803034071
8192,7168,2048,167.881,1432.67057365634,637.0866983160691
8192,8192,2048,331.402,829.4394932559247,354.37478349557335
8192,12288,2048,276.689,1490.1816133492835,576.0386282071206
8192,16384,2048,366.152,1501.4415157857939,549.8443050973366
8192,2048,4096,108.828,1262.9006640937992,847.8947329731318
8192,4096,4096,193.912,1417.5394351252114,605.6381863938282
8192,7168,4096,327.5,1468.8132432122138,473.86029923664125
8192,8192,4096,377.339,1456.9281571425165,444.61918858109027
8192,12288,4096,554.692,1486.6515486648448,393.19804143560754
8192,16384,4096,738.689,1488.4635181734127,363.3944136165559
8192,2048,7168,186.221,1291.5738212983497,799.5757299123085
8192,4096,7168,335.385,1434.2810118281975,537.7553319319588
8192,7168,7168,813.054,1035.372300014513,279.85963047964833
8192,8192,7168,797.963,1205.6607565814454,304.863298172973
8192,12288,7168,975.77,1478.943820219929,313.7872572429979
8192,16384,7168,1305.0,1474.440880159387,282.8342927203065
8192,2048,8192,210.031,1308.7492177059578,798.7971299474839
8192,4096,8192,380.636,1444.3085096732837,528.9215733666811
8192,7168,8192,658.031,1462.0476456337162,382.44131355513645
8192,8192,8192,760.98,1444.8627135746012,352.74968593129915
8192,12288,8192,1116.9999999999998,1476.5151671119072,300.3977797672337
8192,16384,8192,1493.0000000000002,1472.8889856342932,269.69402813127925
8192,2048,12288,311.367,1324.2150273343032,781.2954873188231
8192,4096,12288,922.387,894.0214040657555,309.21150449865405
8192,7168,12288,1210.0,1192.6520755834713,287.7084561983471
8192,8192,12288,1148.0,1436.6441129477353,321.51459233449475
8192,12288,12288,1687.0000000000002,1466.4500074072319,268.5150160047421
8192,16384,12288,2262.0000000000005,1458.238233124668,237.3434624226348
8192,2048,16384,413.611,1329.1614920492927,770.6930038127614
8192,4096,16384,763.674,1439.7656955402435,483.3197830487878
8192,7168,16384,1323.0,1454.380460021164,336.05156764928194
8192,8192,16384,1532.9999999999998,1434.4574400208742,306.4331689497717
8192,12288,16384,2277.0,1448.6319206534915,250.51618093983313
8192,16384,16384,4877.0,901.7934203616977,137.60275579249537
32768,2048,2048,209.2,1313.9479299426387,982.4134608030594
32768,4096,2048,379.376,1449.105409641095,729.682594576357
32768,7168,2048,657.919,1462.2965354458527,583.3222873940409
32768,8192,2048,760.985,1444.8532202027634,551.1677628336957
32768,12288,2048,1118.0,1475.1944916493737,502.71622182468695
32768,16384,2048,1494.0,1471.9031161659973,471.6486425702811
32768,2048,4096,409.989,1340.903814219406,838.8833066252998
32768,4096,4096,761.314,1444.2288303853602,550.9295770207825
32768,7168,4096,1631.0,1179.7335061974247,326.59509993868795
32768,8192,4096,2305.0,954.0231043609543,247.47303427331886
32768,12288,4096,2275.0,1449.9054432210987,317.1078189010989
32768,16384,4096,3050.0,1441.982462657049,286.0377809836066
32768,2048,7168,718.358,1339.2663188883537,767.79401913809
32768,4096,7168,1340.0,1435.9293646328358,472.641719402985
32768,7168,7168,2347.0,1434.7057350080952,322.1232620366425
32768,8192,7168,2738.0,1405.5115767772097,291.0583491599708
32768,12288,7168,6030.0,957.2862430885573,159.28617180762853
32768,16384,7168,5450.999999999999,1411.9576948141628,206.2141757475693
32768,2048,8192,817.576,1344.8433268295548,759.2651839095081
32768,4096,8192,1529.0,1438.2101082746892,460.8522380640942
32768,7168,8192,2686.0,1432.7217785614296,309.18547728965
32768,8192,8192,3126.0,1406.924667659629,279.08356749840055
32768,12288,8192,6493.000000000001,1016.0279942485753,160.20135407361772
32768,16384,8192,6288.0,1398.8697554402036,192.10552671755724
32768,2048,12288,1235.0000000000002,1335.439224019433,726.7862801619432
32768,4096,12288,2315.0,1424.853081351188,427.58347473002163
32768,7168,12288,4080.0000000000005,1414.8127563294117,276.5362196078431
32768,8192,12288,4900.000000000001,1346.340768705306,239.67451428571428
32768,12288,12288,9444.000000000002,1047.8192132554002,143.89607115628968
32768,16384,12288,10015.000000000002,1317.4377966362456,154.11920838741887
32768,2048,16384,1632.0,1347.4407203137255,719.6109803921569
32768,4096,16384,3097.9999999999995,1419.640578148483,411.5779264041318
32768,7168,16384,6601.0,1165.9720336967125,216.0374731101348
32768,8192,16384,6836.0,1286.7309862796958,215.97352369806902
32768,12288,16384,9967.0,1323.782435367914,168.32764121601284
32768,16384,16384,13739.000000000004,1280.4560771829097,136.76746429871167
